Concessionaria;Data;Km;Trecho
RIOSP;01/03/2022;6.500;BR-116/SP
RIOSP;01/03/2022;15.500;BR-116/SP
RIOSP;01/03/2022;15.800;BR-116/SP
RIOSP;01/03/2022;101.000;BR-116/SP
RIOSP;01/03/2022;101.000;BR-116/SP
RIOSP;01/03/2022;155.700;BR-116/SP
RIOSP;01/03/2022;166.200;BR-116/RJ
RIOSP;01/03/2022;178.600;BR-116/RJ
RIOSP;01/03/2022;181.200;BR-116/RJ
RIOSP;01/03/2022;182.300;BR-116/SP
RIOSP;01/03/2022;204.500;BR-116/SP
RIOSP;01/03/2022;205.490;BR-116/RJ
RIOSP;01/03/2022;266.400;BR-116/RJ
RIOSP;01/03/2022;290.300;BR-116/RJ
RIOSP;01/03/2022;293.000;BR-116/RJ
RIOSP;01/03/2022;318.900;BR-116/RJ
RIOSP;02/03/2022;13.900;BR-116/SP
RIOSP;02/03/2022;90.000;BR-116/SP
RIOSP;02/03/2022;99.000;BR-116/SP
RIOSP;02/03/2022;146.000;BR-116/SP
RIOSP;02/03/2022;148.100;BR-116/SP
RIOSP;02/03/2022;166.800;BR-116/SP
RIOSP;02/03/2022;170.000;BR-116/RJ
RIOSP;02/03/2022;175.000;BR-116/RJ
RIOSP;02/03/2022;179.600;BR-116/RJ
RIOSP;02/03/2022;182.300;BR-116/RJ
RIOSP;02/03/2022;209.000;BR-116/SP
RIOSP;02/03/2022;209.800;BR-116/SP
RIOSP;02/03/2022;209.800;BR-116/SP
RIOSP;02/03/2022;211.300;BR-116/SP
RIOSP;02/03/2022;216.800;BR-116/SP
RIOSP;02/03/2022;221.700;BR-116/SP
RIOSP;02/03/2022;228.800;BR-116/SP
RIOSP;02/03/2022;229.700;BR-116/SP
RIOSP;02/03/2022;230.500;BR-116/SP
RIOSP;02/03/2022;272.000;BR-116/RJ
RIOSP;03/03/2022;69.000;BR-116/SP
RIOSP;03/03/2022;98.800;BR-116/SP
RIOSP;03/03/2022;108.500;BR-116/SP
RIOSP;03/03/2022;155.500;BR-116/SP
RIOSP;03/03/2022;167.100;BR-116/SP
RIOSP;03/03/2022;175.200;BR-116/RJ
RIOSP;03/03/2022;181.100;BR-116/RJ
RIOSP;03/03/2022;188.100;BR-116/SP
RIOSP;03/03/2022;210.200;BR-116/SP
RIOSP;03/03/2022;219.000;BR-116/SP
RIOSP;03/03/2022;226.100;BR-116/SP
RIOSP;03/03/2022;230.600;BR-116/SP
RIOSP;03/03/2022;273.300;BR-116/RJ
RIOSP;04/03/2022;18.240;BR-116/SP
RIOSP;04/03/2022;129.800;BR-116/SP
RIOSP;04/03/2022;133.800;BR-116/SP
RIOSP;04/03/2022;139.900;BR-116/SP
RIOSP;04/03/2022;145.000;BR-116/SP
RIOSP;04/03/2022;146.600;BR-116/SP
RIOSP;04/03/2022;146.800;BR-116/SP
RIOSP;04/03/2022;156.250;BR-116/SP
RIOSP;04/03/2022;162.000;BR-116/SP
RIOSP;04/03/2022;174.700;BR-116/RJ
RIOSP;04/03/2022;181.000;BR-116/SP
